# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 640
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 640
DATA ascii
-2.725583759625485 3.396006981627954 0
-1.6597634529593999 -1.2281603489448316 0
-2.140409824523379 2.6417126609614066 0
-0.6326398126137168 -0.1402528698318907 0
-2.7767655428461318 3.45013038631331 0
0.6489032873712904 -3.4026784337693052 0
-1.282380151473496 1.612172803115973 0
0.3867979863233077 -2.0192878244015224 0
-1.3656599193726349 -1.5435977405461334 0
-1.927844294326902 2.402044207926076 0
-1.8798397996040264 -0.8431087654180178 0
-2.307346470130136 2.8414049921259026 0
-1.9208443845116365 -0.7331390389892715 0
2.3907163558464974 2.0418646639500975 0
-1.5542549746108811 -1.3458928166452666 0
-1.282380151473496 1.612172803115973 0
-1.2834560797134131 1.5991531325819541 0
-1.7392840091276234 -1.1080461173132377 0
-1.9330801497681216 2.39783259102308 0
-0.6326398126137168 -0.1402528698318907 0
-2.1465089025288306 2.644813527238636 0
-2.903610380041959 -1.8890057598939693 0
-1.282380151473496 1.612172803115973 0
-4.023943725011117 -1.5044909098906714 0
-1.367813434529336 -1.5460318466386977 0
-1.927844294326902 2.402044207926076 0
-1.3755633086684258 -1.53612160451091 0
-2.2274458717860353 2.7430105975484946 0
0.24332720990135528 -2.0415503591441535 0
2.4393823376448993 2.0834293390432292 0
-3.499729463454158 -1.0574637973145333 0
-1.282380151473496 1.612172803115973 0
-2.8057019640650447 3.495832195463843 0
-1.6569499539472394 -1.226078469191202 0
-2.2938456733002313 2.8548812741656717 0
-0.6326398126137168 -0.1402528698318907 0
-2.295254957965376 2.8566352458680058 0
0.38844988268035124 -2.0189707002939943 0
-1.282380151473496 1.612172803115973 0
-2.007264590638583 -0.44499984625673966 0
-1.9754083587621947 -0.5851426139262569 0
-1.928499278573118 2.4015183806381666 0
-1.9390013699563993 -0.7117330519985754 0
-1.9291541193978325 2.4009923747505684 0
-2.007264590638583 -0.44499984625673966 0
2.7842264430445134 2.3779540289609677 0
0.4932820091774557 -4.138707148303906 0
-1.368641709589606 -1.546968041289684 0
-2.6855246574057055 3.346094374710009 0
